Timestamp,total_watt
2016-10-04 17:14:59,33.168
2016-10-04 17:29:59,34.1967
2016-10-04 17:44:59,32.8566
2016-10-04 17:59:59,29.9795
2016-10-04 18:14:59,326.779
2016-10-04 18:29:59,360.697
2016-10-04 18:44:59,38.2131
2016-10-04 18:59:59,47.2213
2016-10-04 19:14:59,48.1475
2016-10-04 19:29:59,49.9918
2016-10-04 19:44:59,51.9836
2016-10-04 19:59:59,57.0246
2016-10-04 20:14:59,57.582
2016-10-04 20:29:59,63.8893
2016-10-04 20:44:59,185.689
2016-10-04 20:59:59,356.861
2016-10-04 21:14:59,353.389
2016-10-04 21:29:59,351.311
2016-10-04 21:44:59,363.07
2016-10-04 21:59:59,359.75
2016-10-04 22:14:59,358.832
2016-10-04 22:29:59,363.684
2016-10-04 22:44:59,310.057
2016-10-04 22:59:59,365.393
2016-10-04 23:14:59,348.512
2016-10-04 23:29:59,340.189
2016-10-04 23:44:59,672.479
2016-10-04 23:59:59,392.656
2016-10-05 00:14:59,475.922
2016-10-05 00:29:59,409.393
2016-10-05 00:44:59,218.299
2016-10-05 00:59:59,303.836
2016-10-05 01:14:59,180.689
2016-10-05 01:29:59,298.02
2016-10-05 01:44:59,183.012
2016-10-05 01:59:59,234.004
2016-10-05 02:14:59,216.816
2016-10-05 02:29:59,179.689
2016-10-05 02:44:59,167.648
2016-10-05 02:59:59,239.086
2016-10-05 03:14:59,162.201
2016-10-05 03:29:59,136.402
2016-10-05 03:44:59,141.316
2016-10-05 03:59:59,175.582
2016-10-05 04:14:59,34.041
2016-10-05 04:29:59,33.9016
2016-10-05 04:44:59,29.127
2016-10-05 04:59:59,33.1844
2016-10-05 05:14:59,30.8197
2016-10-05 05:29:59,28.418
2016-10-05 05:44:59,32.8074
2016-10-05 05:59:59,29.5984
2016-10-05 06:14:59,27.0861
2016-10-05 06:29:59,26.5697
2016-10-05 06:44:59,32.8934
2016-10-05 06:59:59,34.1148
2016-10-05 07:14:59,33.2377
2016-10-05 07:29:59,39.3443
2016-10-05 07:44:59,53.4303
2016-10-05 07:59:59,49.8607
2016-10-05 08:14:59,49.0451
2016-10-05 08:29:59,128.16
